Runge-Kutta methods
Kutta's third-order method, order: 4, type: Explicit
76.00001001292392, 1.0022192387908524, 451.6008308245147, 1.2459112761644853
77.00001001324134, 1.0022775473551324, 440.06477732871934, 1.2096767709571763
78.00001001355875, 1.0023373934357092, 428.8230553303319, 1.1788394118107846
79.00001001387616, 1.002398817564763, 417.8682079632251, 1.1525968320347528
80.00001001419358, 1.002461861373886, 407.1929594276054, 1.1302659893381206
81.00001001451099, 1.0025265676222805, 396.79021177112514, 1.1112654215111935
82.0000100148284, 1.002592980225926, 386.6530415429002, 1.0951001408317624
83.00001001514582, 1.0026611442877358, 376.7746963548562, 1.0813487747974568
84.00001001546323, 1.0027311061287094, 367.1485913792138, 1.069652619137862
85.00001001578065, 1.0028029133200962, 357.7683058063515, 1.059706318734998
86.00001001609806, 1.0028766147165902, 348.6275792832552, 1.051249934369903
